,0,1,2,3,4,5,6,7,8,9,10,11,subj,g
0,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000004,1.0000000000000004,0,0
1,0.0,0.867220936191405,0.9823697202141131,0.9976590679553464,0.9996891732346713,0.9999587287130931,0.9999945200371625,0.9999992723756649,0.9999999033867222,0.9999999871717796,0.999999998296681,0.999999998296681,0,1
2,0.0,0.0,0.0913525677074159,0.1035354795108944,0.17598457469315934,0.1950917324247773,0.2538086580768435,0.2764527443679026,0.3249950015705265,0.3490243103193976,0.389863025089747,0.389863025089747,0,2
3,0.0,0.0,0.0,0.08911642904229011,0.10297191366355747,0.17397618816432128,0.19418934277945105,0.25195087878682343,0.2753280835924251,0.32324119007081653,0.3477591861107136,0.3477591861107136,0,3
4,0.0,0.0,0.0,0.0,0.03839146927313587,0.04913416827703977,0.09771927054787176,0.11749878477474884,0.16604165213730626,0.1912022956354763,0.2362465495868138,0.2362465495868138,0,4
5,0.0,0.0,0.0,0.0,0.0,0.02958727415600656,0.04130093381563009,0.08154735773145894,0.10221372993774139,0.144706652374685,0.17071156076095512,0.17071156076095512,0,5
0,1.0,1.0,1.0000000000000002,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.0000000000000004,1.0000000000000004,1.0000000000000004,1,0
1,0.0,0.9972739665386937,0.999992568741568,0.9999999797421413,0.9999999999447767,0.9999999999998497,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0000000000000004,1.0000000000000004,1.0000000000000004,1,1
2,0.0,0.0,0.4057480960669276,0.5223376888479949,0.6803660842327238,0.761556894867562,0.8333866916893926,0.8789446471428973,0.9140805644842764,0.9381587481219753,0.9558609519660146,0.9558609519660146,1,2
3,0.0,0.0,0.0,0.18261555825567757,0.2855285645567812,0.40541494974507464,0.49231925647550523,0.5731694462302117,0.6379859935640434,0.694520879208848,0.7414697563358335,0.7414697563358335,1,3
4,0.0,0.0,0.0,0.0,0.0824206676705425,0.15143205019668285,0.23463101518126178,0.3079855550702799,0.37912351592859084,0.44253910487138404,0.5006977040247024,0.5006977040247024,1,4
5,0.0,0.0,0.0,0.0,0.0,0.0038691553941161915,0.007447998676833878,0.013178639326216905,0.01893608867080255,0.025701483052274793,0.03259576404487191,0.03259576404487191,1,5
0,1.0,1.0,1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999998,0.9999999999999998,2,0
1,0.0,0.9981245053146844,0.9999964825196854,0.9999999934029843,0.9999999999876275,0.9999999999999768,1.0,1.0000000000000002,1.0,1.0,0.9999999999999999,0.9999999999999999,2,1
2,0.0,0.0,0.09059439304178783,0.13193141296660263,0.19184297594132085,0.23791041126171808,0.2860774307287507,0.32892942710508377,0.37030761013964786,0.40860497443406063,0.4448287893634731,0.4448287893634731,2,2
3,0.0,0.0,0.0,0.022243503853614007,0.04073736100935128,0.0631509928169532,0.0838548701979263,0.10501495701475852,0.12534687253756993,0.14542529806621857,0.16495337328260962,0.16495337328260962,2,3
4,0.0,0.0,0.0,0.0,0.004289111757435252,0.0111067604398529,0.020648801372035515,0.03197636972025006,0.044798821783213004,0.05863888857031802,0.07323985212942627,0.07323985212942627,2,4
5,0.0,0.0,0.0,0.0,0.0,0.004003936113112457,0.01055832451705537,0.019791703412093735,0.030839535763337995,0.04339451824221934,0.056997321162188336,0.056997321162188336,2,5
0,1.0,1.0,1.0,1.0,0.9999999999999998,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,3,0
1,0.0,0.999835954369979,0.9999999730890312,0.9999999999955853,0.999999999999999,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999997,0.9999999999999997,3,1
2,0.0,0.0,0.9984534243103349,0.998621481518041,0.999997636390609,0.999998099647808,0.9999999964224728,0.9999999973802216,0.999999999994628,0.9999999999963879,0.9999999999999916,0.9999999999999916,3,2
3,0.0,0.0,0.0,0.5304743817939161,0.5305646585089189,0.7795864415681151,0.7796304668120155,0.8965293162903385,0.8965507560516482,0.9514268429656177,0.9514372703014028,0.9514372703014028,3,3
4,0.0,0.0,0.0,0.0,0.0026867022834863924,0.0026872494071483403,0.005368631181417356,0.005369235725736075,0.008043350103531747,0.008044011041730621,0.010710876292269,0.010710876292269,3,4
5,0.0,0.0,0.0,0.0,0.0,0.0018254405730624974,0.0018258374986301583,0.003650626735963167,0.0036510634097391644,0.005472480386175181,0.005472955842286005,0.005472955842286005,3,5
0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,4,0
1,0.0,0.36317343951693076,0.5944519318633038,0.7417362186579545,0.8355307644305936,0.8952616224070554,0.9332998192469082,0.9575235533074096,0.9729498705512153,0.9827737591025086,0.9890298722591978,0.9890298722591978,4,1
2,0.0,0.0,0.21228084758727028,0.36575466325721606,0.4904563193316703,0.5905490217730383,0.670987238246012,0.7356224685123207,0.7875600230586968,0.8292943255762213,0.8628298325272842,0.8628298325272842,4,2
3,0.0,0.0,0.0,0.09013439371194214,0.17905816321618623,0.271873726577092,0.35646075552013756,0.4333105510625283,0.5015445887790284,0.5619374669827081,0.6151383984757364,0.6151383984757364,4,3
4,0.0,0.0,0.0,0.0,0.05070233973298725,0.11333740822481665,0.18519269588021303,0.25673997481943217,0.3258716998430801,0.390495196059634,0.4501332024646323,0.4501332024646323,4,4
5,0.0,0.0,0.0,0.0,0.0,0.008475930650266859,0.02593723995770583,0.05238913832569988,0.08625497470275378,0.12588814206759924,0.16957687170115107,0.16957687170115107,4,5
0,1.0,0.9999999999999999,0.9999999999999997,0.9999999999999998,0.9999999999999998,0.9999999999999996,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.999999999999999,0.9999999999999991,0.9999999999999991,5,0
1,0.0,0.15681064305047468,0.2890317083270459,0.4005191033327793,0.49452408823564115,0.5737880910059352,0.6406226545310647,0.6969768471718208,0.7444941026259897,0.7845601466963966,0.8183434086316344,0.8183434086316344,5,1
2,0.0,0.0,0.01924427384503185,0.035475635934254984,0.05180836183385266,0.06781285728961507,0.08355442953552308,0.09902917053172612,0.1142427518929292,0.12919942063645026,0.1439035376705584,0.1439035376705584,5,2
3,0.0,0.0,0.0,0.004414421191070261,0.011411629406883369,0.02036328451311114,0.03069833151595256,0.04200815630249716,0.05398771210602561,0.06641138103184059,0.0791122217676098,0.0791122217676098,5,3
4,0.0,0.0,0.0,0.0,6.945680793573072e-06,1.795947929875655e-05,3.364072008245107e-05,5.3611676389608784e-05,7.775797417875754e-05,0.00010590713874411457,0.00013790865150726544,0.00013790865150726544,5,4
5,0.0,0.0,0.0,0.0,0.0,1.2288158357351028e-06,4.060331544615178e-06,8.869438252455374e-06,1.585875231512046e-05,2.5153738663284213e-05,3.6814119172751694e-05,3.6814119172751694e-05,5,5
0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000007,1.0000000000000007,1.0000000000000007,6,0
1,0.0,0.965073099623624,0.9987801116300988,0.9999573930804344,0.9999985118723652,0.9999999480243147,0.9999999981846508,0.9999999999365959,0.999999999997786,0.9999999999999234,0.9999999999999979,0.9999999999999979,6,1
2,0.0,0.0,0.06340496889760953,0.09522931233185612,0.1387630831268158,0.17444682326442063,0.211280234252731,0.24527849295221324,0.27835345759518976,0.30973263623795017,0.3398593316191315,0.3398593316191315,6,2
3,0.0,0.0,0.0,0.004558439013265529,0.009126712105268782,0.01466988456207168,0.020196483975358333,0.025910717639284514,0.03159654353067717,0.037297243358805805,0.04296585193839615,0.04296585193839615,6,3
4,0.0,0.0,0.0,0.0,0.0005170871549684577,0.0014908408727103972,0.0029777103203012557,0.0049150384946034294,0.007270857331978773,0.0099925103264245,0.013038518068808739,0.013038518068808739,6,4
5,0.0,0.0,0.0,0.0,0.0,0.0004446790682379409,0.001318030190015546,0.0026702888752520144,0.0044541560703604145,0.006640876724115409,0.009184783017857346,0.009184783017857346,6,5
0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999996,0.9999999999999998,0.9999999999999998,7,0
1,0.0,0.48940006847374445,0.7392877099253832,0.8668803225398474,0.932029101804049,0.965294064035369,0.9822791514729049,0.9909517359554779,0.9953799569984354,0.9976410063597525,0.9987954980088187,0.9987954980088187,7,1
2,0.0,0.0,0.09579708106471721,0.18322215418390192,0.2622018026449969,0.3335444564890485,0.3979885115049687,0.45620103875686036,0.508784606439409,0.5562835163949478,0.5991894382712437,0.5991894382712437,7,2
3,0.0,0.0,0.0,0.016739548122619855,0.036965697538898196,0.05848227153140814,0.08010492754949505,0.10145459685270947,0.12239080487932119,0.14286974033442085,0.1628821128623726,0.1628821128623726,7,3
4,0.0,0.0,0.0,0.0,0.011023530674967918,0.027458280559585026,0.04638539912227769,0.06617590426198501,0.08609439771320296,0.1058184930296238,0.12521471573069454,0.12521471573069454,7,4
